Country,Region,Population (millions),Ship transport Footprint,Air Transport Footprint,Railway Footprint,Truck Footprint,Cars Footprint,Total Ecological Footprint,Average Usage cost of CO2e/$,HDI,Household,Clothes,Electrical,Medical,Recreational,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality
United Arab Emirates,Middle East/Central Asia,9.206,0.19,6.37,0.38,0.19,0.8,7.93,"$40,817.40 ",0.83,0.02,0,0.07,0.47,0,0.56,-7.37,4.58,14.16071429,6
Austria,European Union,8.46,0.06,4.14,0.63,0.27,0.82,6.06,"$51,274.10 ",0.88,0.71,0.16,2.04,0,0.15,3.07,-3,3.5,1.98,5
Tajikistan,Middle East/Central Asia,8.01,0,0.13,0.1,0.14,0.46,0.91,$836.17 ,0.62,0.29,0.14,0.01,0.01,0.08,0.53,-0.38,0.52,1.71,5
Switzerland,Northern/Eastern Europe,8,0.07,4.26,0.38,0.22,0.75,5.79,"$88,506.20 ",0.93,0.32,0.12,0.74,0.01,0.12,1.3,-4.48,3.34,4.44,6
Honduras,Latin America,7.94,0,0.6,0.5,0.25,0.28,1.68,"$2,269.51 ",0.61,0.33,0.26,0.89,0.23,0.06,1.77,0.09,0.97,0.95,3B
Israel,Middle East/Central Asia,7.64,0.07,4.59,0.36,0.22,0.89,6.22,"$33,718.90 ",0.89,0.22,0.01,0.03,0.02,0.08,0.35,-5.87,3.59,17.59,6
Bulgaria,European Union,7.28,0.03,2.08,0.35,0.13,0.6,3.32,"$7,615.28 ",0.78,1.33,0.08,1.2,0.12,0.13,2.86,-0.46,1.92,1.16,5
Papua New Guinea,Asia-Pacific,7.17,0.73,0.35,0.36,0.05,0.3,1.91,"$1,871.21 ",0.5,0.36,0.04,2.66,0.73,0.13,3.92,2.01,1.1,0.49,3B
Jordan,Middle East/Central Asia,7.01,0.03,1.09,0.17,0.18,0.54,2.1,"$4,615.17 ",0.75,0.09,0.02,0.03,0,0.07,0.21,-1.89,1.21,9.91,5
Paraguay,Latin America,6.69,0.01,0.97,0.83,1.1,1.11,4.16,"$3,557.31 ",0.67,2.51,2.28,5.54,0.05,0.14,10.52,6.36,2.4,0.4,3B
Lao People's Democratic Republic,Asia-Pacific,6.65,0.01,0.09,0.36,0.08,0.57,1.22,"$1,236.24 ",0.56,0.57,0.13,0.78,0.03,0.11,1.62,0.4,0.7,0.75,6
Togo,Africa,6.64,0.08,0.31,0.27,0.1,0.34,1.13,$580.86 ,0.47,0.34,0.12,0.03,0.02,0.02,0.53,-0.6,0.65,2.13,6
El Salvador,Latin America,6.3,0.14,0.84,0.4,0.21,0.44,2.07,"$3,696.33 ",0.66,0.27,0.15,0.04,0.11,0.05,0.61,-1.46,1.2,3.37,5
Libyan Arab Jamahiriya,Africa,6.16,0.1,2.33,0.14,0.32,0.79,3.69,"$5,859.43 ",0.74,0.17,0.23,0.02,0.25,0.02,0.7,-3,2.13,5.3,3B
Eritrea,Africa,6.13,0.01,0.03,0.06,0.18,0.1,0.42,$439.73 ,0.39,0.07,0.18,0.09,0.93,0.02,1.3,0.88,0.24,0.32,5
Nicaragua,Latin America,5.99,0.03,0.45,0.42,0.12,0.34,1.39,"$1,626.85 ",0.63,0.4,0.58,0.74,0.49,0.05,2.25,0.87,0.8,0.62,5
Sierra Leone,Africa,5.98,0.15,0.07,0.38,0.11,0.47,1.24,$499.89 ,0.4,0.42,0.35,0.19,0.22,0.05,1.24,0,0.71,1,6
Denmark,European Union,5.6,0.24,2.6,0.77,0.47,1.18,5.51,"$61,413.60 ",0.92,2.38,0.01,0.34,1.8,0.25,4.78,-0.73,3.18,1.15,5
Kyrgyzstan,Middle East/Central Asia,5.47,0.01,0.95,0.09,0.18,0.59,1.91,"$1,116.37 ",0.65,0.47,0.63,0.06,0.05,0.08,1.3,-0.61,1.1,1.47,3B
Slovakia,European Union,5.45,0.03,2.82,0.72,0.08,0.31,4.06,"$18,103.10 ",0.84,0.71,0.06,1.85,0,0.09,2.71,-1.35,2.35,1.5,5
Finland,European Union,5.41,,,,,,5.87,"$50,960.20 ",0.88,,,,,,13.44,7.57,3.39,0.44,3T
Singapore,Asia-Pacific,5.3,0.22,5.91,0.91,0.24,0.67,7.97,"$53,122.40 ",0.91,0,0,0,0.01,0.03,0.05,-7.92,4.61,159.47,5
Turkmenistan,Middle East/Central Asia,5.17,0.01,4.13,0.08,0.44,0.73,5.47,"$5,290.14 ",0.68,0.6,1.96,0.02,0.13,0.09,2.79,-2.68,3.16,1.96,6
Norway,Northern/Eastern Europe,4.99,,,,,,4.98,"$100,172.00 ",0.94,,,,,,8.18,3.19,2.88,0.61,4
Costa Rica,Latin America,4.8,0.08,1.37,0.68,0.21,0.4,2.84,"$8,979.96 ",0.76,0.38,0.3,0.63,0.12,0.1,1.53,-1.31,1.64,1.86,5
Lebanon,Middle East/Central Asia,4.65,0.05,2.52,0.25,0.3,0.67,3.84,"$9,143.86 ",0.76,0.16,0.04,0.06,0.01,0.06,0.33,-3.51,2.22,11.7,6
Ireland,European Union,4.58,0.18,3.22,0.46,0.49,1.08,5.57,"$52,853.60 ",0.91,0.84,0.76,0.5,1.49,0.13,3.73,-1.83,3.21,1.49,5
Central African Republic,Africa,4.53,0.02,0.08,0.26,0.55,0.3,1.24,$495.04 ,0.37,0.29,0.57,6.98,0,0.04,7.87,6.62,0.72,0.16,6
New Zealand,Asia-Pacific,4.46,0.7,2.84,1.08,0.23,0.63,5.6,"$37,488.30 ",0.91,0.51,2.7,5.95,0.86,0.13,10.14,4.54,3.23,0.55,3B
Georgia,Middle East/Central Asia,4.36,0.02,0.83,0.1,0.2,0.39,1.58,"$3,710.70 ",0.75,0.12,0.36,0.61,0.05,0.04,1.17,-0.41,0.91,1.35,3B
Congo,Africa,4.34,0.1,0.47,0.38,0.09,0.22,1.29,"$1,943.69 ",0.57,0.13,3.06,7.33,0.35,0.03,10.91,9.63,0.74,0.12,5
Croatia,Northern/Eastern Europe,4.31,0.06,2.21,0.72,0.13,0.74,3.92,"$14,522.80 ",0.82,0.68,0.19,1.55,0.33,0.06,2.8,-1.12,2.27,1.4,6
Liberia,Africa,4.19,0.03,0.14,0.75,0.03,0.23,1.21,$397.38 ,0.42,0.15,0.61,1.45,0.32,0.03,2.57,1.35,0.7,0.47,3B
Bosnia and Herzegovina,Northern/Eastern Europe,3.83,0.02,1.74,0.44,0.27,0.63,3.12,"$4,708.85 ",0.73,0.3,0.19,1.13,0,0.02,1.63,-1.49,1.8,1.91,5
Mauritania,Africa,3.8,0.15,0.55,0.21,1.2,0.39,2.54,"$1,524.39 ",0.5,0.1,2.91,0.05,1.38,0.04,4.48,1.93,1.47,0.57,3B
Panama,Latin America,3.8,0.37,1.44,0.19,0.4,0.36,2.79,"$8,410.77 ",0.77,0.14,0.43,1.74,0.6,0.02,2.94,0.15,1.61,0.95,3B
Moldova,Northern/Eastern Europe,3.51,0.06,1.03,0.15,0.08,0.43,1.78,"$1,971.03 ",0.68,0.59,0.07,0.1,0.01,0.03,0.8,-0.98,1.03,2.23,5
Uruguay,Latin America,3.4,0.05,0.98,0.55,0.98,0.19,2.91,"$14,238.10 ",0.79,1.89,4.86,1.22,2.18,0.17,10.32,7.41,1.68,0.28,3B
Oman,Middle East/Central Asia,3.31,0.4,5.8,0.15,0.4,0.57,7.52,"$22,622.80 ",0.79,0.07,0.04,0,1.61,0.19,1.92,-5.6,4.34,3.93,3B
Kuwait,Middle East/Central Asia,3.25,0.09,6.89,0.21,0.24,0.55,8.13,"$41,830.50 ",0.82,0.02,0.01,0,0.37,0.15,0.55,-7.58,4.7,14.68,3L
Albania,Northern/Eastern Europe,3.16,0.02,0.87,0.25,0.22,0.78,2.21,"$4,534.37 ",0.73,0.55,0.21,0.29,0.07,0.06,1.18,-1.03,1.27,1.87,6
Lithuania,European Union,3.03,0.16,2.15,1.28,0.21,1.89,5.83,"$14,373.70 ",0.83,3.03,0.11,2.09,0.3,0.15,5.67,-0.17,3.37,1.03,5
Armenia,Middle East/Central Asia,2.97,0.01,0.89,0.34,0.18,0.74,2.23,"$3,426.39 ",0.73,0.44,0.26,0.1,0.02,0.07,0.89,-1.35,1.29,2.52,3B
Mongolia,Asia-Pacific,2.8,0,2.09,0.17,3.47,0.29,6.08,"$3,736.07 ",0.71,0.21,8.23,7.03,0.14,0.05,15.66,9.58,3.51,0.39,3B
Jamaica,Latin America,2.77,0.07,1.09,0.18,0.09,0.41,1.89,"$5,226.30 ",0.72,0.16,0,0.1,0.11,0.05,0.43,-1.46,1.09,4.39,3B
Namibia,Africa,2.26,0.72,1.02,0.17,0.23,0.33,2.48,"$5,880.80 ",0.62,0.14,1.6,0.36,4.76,0.02,6.88,4.4,1.43,0.36,3L
Macedonia TFYR,Northern/Eastern Europe,2.11,0.03,2.06,0.31,0.21,0.62,3.26,"$5,174.89 ",0.74,0.38,0.17,0.92,0.02,0.02,1.51,-1.75,1.88,2.16,6
Slovenia,European Union,2.07,0.05,4.27,0.65,0.17,0.64,5.81,"$25,040.50 ",0.88,0.37,0.07,1.87,0,0.04,2.35,-3.47,3.36,2.48,6
Latvia,European Union,2.06,0.11,1.66,2.02,0.09,2.28,6.29,"$13,732.00 ",0.81,3.1,0.31,4.08,1.93,0.13,9.55,3.26,3.63,0.66,5
Lesotho,Africa,2.05,0,0.51,0.42,0.49,0.22,1.66,"$1,338.42 ",0.48,0.04,0.74,0,0,0.01,0.78,-0.87,0.96,2.11,3B
Qatar,Middle East/Central Asia,2.05,0.19,9.57,0.15,0.27,0.57,10.8,"$99,431.50 ",0.85,0.01,0,0,1.17,0.06,1.24,-9.56,6.24,8.72,3L
Botswana,Africa,2,0.01,2.36,0.24,0.89,0.3,3.83,"$7,743.50 ",0.69,0.06,2.49,0.63,0.27,0.02,3.47,-0.35,2.21,1.1,3B
Gambia,Africa,1.79,0.08,0.21,0.2,0.05,0.46,1.03,$505.76 ,0.44,0.23,0.04,0.2,0.32,0.03,0.82,-0.21,0.6,1.25,5
Guinea-Bissau,Africa,1.66,0.01,0.09,0.67,0.36,0.35,1.53,$681.25 ,0.42,0.48,0.36,0.34,1.79,0.06,3.03,1.49,0.89,0.51,6
Gabon,Africa,1.63,0.11,0.43,0.79,0.13,0.53,2.02,"$11,989.00 ",0.67,0.25,3.6,19.5,2.93,0.03,26.31,24.29,1.16,0.08,3L
Trinidad and Tobago,Latin America,1.34,0.11,6.89,0.27,0.19,0.46,7.92,"$18,310.80 ",0.77,0.04,0.01,0.15,1.37,0,1.56,-6.36,4.57,5.07,3B
Bahrain,Middle East/Central Asia,1.32,0.07,6.19,0.16,0.45,0.52,7.49,"$24,299.00 ",0.82,0.01,0,0,0.46,0.1,0.58,-6.91,4.33,12.96,3L
Estonia,European Union,1.29,,,,,,6.86,"$17,304.40 ",0.85,,,,,,10.53,3.67,3.96,0.65,3T
Mauritius,Africa,1.24,0.55,1.99,0.18,0.22,0.52,3.46,"$8,811.15 ",0.77,0.14,0,0.01,0.56,0,0.71,-2.75,2,4.89,5
Swaziland,Africa,1.23,0.01,0.67,0.52,0.41,0.35,2.01,"$4,657.48 ",0.53,0.25,0.51,0.05,0,0.06,0.88,-1.14,1.16,2.3,3L
Cyprus,European Union,1.13,0.14,2.94,0.23,0.08,0.77,4.21,"$31,454.70 ",0.85,0.18,0,0.06,0.06,0.05,0.34,-3.87,2.43,12.35,5
Timor-Leste,Asia-Pacific,1.11,0.02,0.06,0.04,0.07,0.25,0.48,"$5,167.86 ",0.6,0.21,0.06,0.52,0.94,0.04,1.78,1.3,0.28,0.27,3B
Fiji,Asia-Pacific,0.88,0.62,1.06,0.42,0.2,0.55,2.9,"$4,201.37 ",0.72,0.28,0.09,1.3,0.65,0.04,2.37,-0.52,1.67,1.22,5
Djibouti,Africa,0.86,,,,,,2.19,"$1,433.17 ",0.46,,,,,,0.77,-1.42,1.27,2.84,2
Réunion,Africa,0.86,0.09,3.27,0.15,0.01,0.14,3.65,,,0.14,0.01,0.04,0,0,0.18,-3.47,2.11,20.18,5
Guyana,Latin America,0.8,0.06,1.25,0.77,0.22,0.7,3.07,"$3,269.46 ",0.63,0.69,1.51,59.19,5.12,0.06,66.58,63.51,1.77,0.05,5
Bhutan,Asia-Pacific,0.74,0.02,0.63,3.03,0.42,0.5,4.84,"$2,395.00 ",0.59,0.28,0.34,4.38,0.01,0.25,5.27,0.43,2.8,0.92,3B
Equatorial Guinea,Africa,0.74,0.22,3.17,0.26,0.02,0.27,3.97,"$24,064.00 ",0.58,0.13,0.15,3.1,1.01,0.02,4.4,0.44,2.29,0.9,3L
Comoros,Africa,0.72,0.25,0.25,0.18,0.03,0.33,1.03,$860.24 ,0.5,0.23,0.01,0.02,0.07,0,0.32,-0.7,0.59,3.17,3B
Montenegro,Northern/Eastern Europe,0.62,0.05,2.13,0.62,0.33,0.64,3.78,"$7,251.60 ",0.8,0.14,0.22,2.63,0.24,0.01,3.24,-0.54,2.19,1.17,5
Solomon Islands,Asia-Pacific,0.55,0.46,0,0.09,0.03,0.47,1.29,"$1,647.86 ",0.5,0.66,0.01,2.28,1.19,0.23,4.36,3.08,0.74,0.29,3L
Suriname,Latin America,0.54,0.14,3.01,0.52,0.06,0.43,4.25,"$8,190.70 ",0.71,0.3,0.03,81.52,7.39,0.09,89.33,85.08,2.46,0.05,3L
Luxembourg,European Union,0.52,0.13,12.65,1.03,0.76,1.1,15.82,"$114,665.00 ",0.89,0.57,0.08,0.89,0,0.14,1.68,-14.14,9.14,9.44,5
Cabo Verde,Africa,0.49,,,,,,2.52,"$3,801.45 ",0.64,,,,,,0.62,-1.9,1.46,4.06,3T
Guadeloupe,Latin America,0.46,0.31,2.61,0.16,0.03,0.11,3.23,,,0.11,0.03,0.13,0.18,0,0.45,-2.77,1.86,7.14,5
Brunei Darussalam,Asia-Pacific,0.41,0.09,3.24,0.26,0.13,0.31,4.06,"$47,097.40 ",0.85,0.02,0.01,1.57,1.24,0.03,2.87,-1.19,2.34,1.41,3L
Martinique,Latin America,0.4,0.04,1.73,0.12,0.02,0.13,2.08,,,0.13,0.02,0.1,0.09,0.04,0.39,-1.7,1.2,5.41,3B
Bahamas,Latin America,0.37,0.14,4.46,0.19,1.05,0.97,6.84,"$22,647.30 ",0.78,0.05,0,1.18,8.27,0.04,9.55,2.71,3.95,0.72,3L
Barbados,Latin America,0.28,0.22,3.28,0.14,0.24,0.56,4.48,"$15,722.80 ",0.79,0.08,0,0.02,0.04,0.04,0.19,-4.29,2.58,23.79,5
French Polynesia,Asia-Pacific,0.27,0.82,2.39,0.12,0.65,0.75,4.73,,,0.19,0.03,0.73,0.42,0,1.37,-3.36,2.73,3.45,5
New Caledonia,Asia-Pacific,0.25,0.32,1.78,0.18,0.62,0.68,3.58,,,0.07,0.31,1.94,5.35,0,7.67,4.09,2.07,0.47,3L
French Guiana,Latin America,0.24,0.17,1.58,0.46,0.06,0.07,2.34,,,0.07,0.06,95.16,16.07,0,111.35,109.01,1.35,0.02,3L
Samoa,Asia-Pacific,0.19,0.42,0.96,0.27,0.16,0.97,2.77,"$4,067.15 ",0.7,0.69,0.01,1.17,0.06,0,1.93,-0.85,1.6,1.44,3B
Sao Tome and Principe,Africa,0.19,0.47,0.37,0.27,0.02,0.36,1.49,"$1,384.53 ",0.55,0.25,0,0.22,0.4,0,0.87,-0.61,0.86,1.7,3B
Saint Lucia,Latin America,0.18,0.23,1.56,0.17,0.1,0.38,2.45,"$7,737.20 ",0.73,0.1,0,0.1,0.14,0,0.34,-2.1,1.41,7.12,3B
Saint Vincent and Grenadines,Latin America,0.11,,,,,,3.11,"$6,171.48 ",0.72,,,,,,1.26,-1.85,1.79,2.47,2
Aruba,Latin America,0.1,,,,,,11.88,,,,,,,,0.57,-11.31,6.86,20.69,2
Grenada,Latin America,0.1,,,,,,2.98,"$7,410.48 ",0.74,,,,,,1.96,-1.01,1.72,1.52,3L
Tonga,Asia-Pacific,0.1,0.18,0.88,0.14,0.32,1.19,2.7,"$4,330.90 ",0.72,0.83,0.02,0.11,0.52,0,1.48,-1.22,1.56,1.82,3B
Antigua and Barbuda,Latin America,0.09,,,,,,5.38,"$13,205.10 ",0.78,,,,,,0.94,-4.44,3.11,5.7,2
Dominica,Latin America,0.07,0.17,1.47,0.14,0.15,0.64,2.57,"$7,088.01 ",0.72,0.4,0.01,0.52,0.1,0,1.03,-1.54,1.49,2.49,5
Bermuda,North America,0.06,,,,,,5.77,"$70,626.30 ",,,,,,,0.13,-5.64,3.33,44.05,3T
Cayman Islands,Latin America,0.06,0.05,3.56,1.23,0.45,0.36,5.65,,,0,0.02,0.19,0.11,0,0.32,-5.33,3.26,17.91,3L
Saint Kitts and Nevis,Latin America,0.05,0.81,3.34,0.09,0.18,0.51,4.94,"$12,952.50 ",0.74,0.06,0.01,0.17,0.38,0,0.62,-4.31,2.85,7.92,3L
British Virgin Islands,Latin America,0.03,,,,,,2.86,,,,,,,,2.05,-0.81,1.65,1.4,3T
Nauru,Asia-Pacific,0.01,,,,,,2.94,,,,,,,,0.19,-2.76,1.7,15.83,2
Wallis and Futuna Islands,Asia-Pacific,0.01,,,,,,2.07,,,,,,,,1.51,-0.56,1.19,1.37,3T
Montserrat,Latin America,0,,,,,,7.78,,,,,,,,1.36,-6.42,4.49,5.71,2
